['...Baby One More Time', 'Britney Spears']
['Opus 40', 'Mercury Rev']
['Out Of My Head', 'Fastball']
['Outside', 'George Michael']
['P.L.U.C.K.', 'System Of A Down']
['Pantala Naga Pampa', 'Dave Matthews Band']
['Party Hard', 'Pulp']
['Party on the Phone', 'Billie']
['Peephole', 'System Of A Down']
['Perfect', 'Smashing Pumpkins']
['Perfect 10', 'The Beautiful South']
['Pig', 'Dave Matthews Band']
['Pilate', 'Pearl Jam']
['Please Forgive Me', 'David Gray']
['Pretty', 'Korn']
['Pretty Fly (For A White Guy)', 'The Offspring']
['Pure Morning', 'Placebo']
['Push It', 'Garbage']
['Rapunzel', 'Dave Matthews Band']
['Raspberry Swirl', 'Tori Amos']
['Ray Of Light', 'Madonna']
['Real World', 'Matchbox Twenty']
['Reclaim My Place', 'Korn']
['Reconsider (U Betta)', 'Chaka Khan']
['Reflection', 'Christina Aguilera']
['Resurrection', 'Fear Factory']
['River God', 'Nichole Nordeman']
['Road Rage', 'Catatonia']
['Rock Is Dead', 'Marilyn Manson']
['Rolling', 'Soul Coughing']
['Rosa Parks', 'OutKast']
["Ruff Ryders' Anthem", 'DMX']
['Sail Away', 'David Gray']
['Saint Mary', 'Sparklehorse']
['Satan Is My Motor', 'Cake']
['Save Tonight', 'Eagle-Eye Cherry']
['Save Yourself', 'Stabbing Westward']
['Sea Anenome', 'Jets to Brazil']
['Secret Smile', 'Semisonic']
['Securitron', 'Fear Factory']
['See You in Hell', 'Monster Magnet']
['Seed', 'Korn']
['Sexy Boy', 'Air']
["She's On Time", 'Barenaked Ladies']
["She's The One", 'Robbie Williams']
['Sheep Go To Heaven', 'Cake']
['Shimmer', 'Fuel']
['Shining In The Light', 'Jimmy Page and Robert Plant']
['Shuck And Jive', 'Superdrag']
['Sing It Again', 'Beck']
['Singing In My Sleep', 'Semisonic']
['Slide', 'The Goo Goo Dolls']
['Soil', 'System Of A Down']
['Sometimes It Hurts', 'Stabbing Westward']
['Sour', 'Limp Bizkit']
['Space Lord', 'Monster Magnet']
['Spark', 'Tori Amos']
['Spend, Spend, Spend', 'Barbara Dickson']
['Spiders', 'System Of A Down']
['Spirit of a Boy, Wisdom of a Man', 'Randy Travis']
['Spybreak!', 'Propellerheads']
['Staring At The Sun', 'The Offspring']
['Stay (Wasting Time)', 'Dave Matthews Band']
['Strong', 'Robbie Williams']
['Substitute For Love', 'Madonna']
['Sugar', 'System Of A Down']
['Suggestions', 'System Of A Down']
['Suite-Pee', 'System Of A Down']
['Sunday', 'Sonic Youth']
['Superstar', 'Cold']
['Swan Dive', 'Ani DiFranco']
['Sweet Adeline', 'Elliott Smith']
['Syunikiss', 'Malice Mizer']
['Take', 'Skillet']
['Tarzan & Jane', 'Toy-Box']
['Teardrop', 'Massive Attack']
['Teenage Suicide', 'Unwritten Law']
['Tequila', 'Terrorvision']
['Thank U', 'Alanis Morissette']
['The Angel and The Gambler', 'Iron Maiden']
['The Boy Is Mine', 'Brandy & Monica']
['The Boy With The Arab Strap', 'Belle & Sebastian']
['The Circus Left Town', 'Eric Clapton']
['The City Is Mine', 'Jay-Z']
['The Clansman', 'Iron Maiden']
['The Dope Show', 'Marilyn Manson']
['The Dreaming Tree', 'Dave Matthews Band']
['The Educated Fool', 'Iron Maiden']
['The Elephant Riders', 'Clutch']
['The Everlasting', 'Manic Street Preachers']
["The Kids Aren't Alright", 'The Offspring']
['The Last Stop', 'Dave Matthews Band']
['The Light Comes From Within', 'Linda McCartney']
['The Magic of Christmas Day (God Bless Us Everyone)', 'Celine Dion']
['The Masterplan', 'Oasis']
['The Power Of Goodbye', 'Madonna']
["The Preacher Won't Have To Lie", 'Lee Ann Womack']
['The River', 'PJ Harvey']
['The Secret of Life', 'Faith Hill']
['The Stone', 'Dave Matthews Band']
['The Way', 'Fastball']
['Thinking Of You', 'Lenny Kravitz']
['Thirteen Autumns And A Widow', 'Cradle of Filth']
['This Is Hardcore', 'Pulp']
['This Is Not Over Yet', 'Brent Carver']
['This Means War!', 'Busta Rhymes']
["This Year's Love", 'David Gray']
['Three Minute Warning (Parts 1-5)', 'Liquid Tension Experiment']
['To Know You', 'Nichole Nordeman']
['Together Again', 'Janet Jackson']
['Too Close', 'Next']
['Touched', 'VAST']
['Tu', 'Shakira']
['Ugly', 'Cold']
['Unbelievable', 'Diamond Rio']
['Uninvited', 'Alanis Morissette']
['Unsent', 'Alanis Morissette']
['Until I Wake Up', 'Dishwalla']
['Vindaloo', 'Fat Les']
['Wading In The Velvet Sea', 'Phish']
['Walk Unafraid', 'R.E.M.']
['Walla Walla', 'The Offspring']
['Waltz No. 2 (XO)', 'Elliott Smith']
['War?', 'System Of A Down']
['Warm Fuzzy Feeling', 'Fastball']
["Watson's Lullaby", 'John Leslie Wolfe']
['We Like To Party (The Vengabus)', 'Vengaboys']
['We Live Again', 'Beck']
["What It's Like", 'Everlast']
["What's Going On", 'Canibus']
["What's It Gonna Be?!", 'Busta Rhymes']
["What's Simple Is True", 'Jewel']
['When I Argue I See Shapes', 'Idlewild']
['When Mermaids Cry', 'Eagle-Eye Cherry']
['When Two Worlds Collide', 'Iron Maiden']
["When You're Gone", 'Bryan Adams']
["Whippin' Piccadilly", 'Gomez']
['Wide Open Spaces', 'The Chicks']
['Wine Into Water', 'T. Graham Brown']
['Wishlist', 'Pearl Jam']
["Without You I'm Nothing", 'Placebo']
['You Get What You Give', 'The New Radicals']
['You Look So Fine', 'Garbage']
['You Were Mine', 'The Chicks']
["You're Gone", 'Diamond Rio']
