['(No More) What Ifs', 'Natasha Bedingfield']
['Baby', 'Angie Stone']
['Back Of My Lac', 'J. Holiday']
['Ballad Of The Beaconsfield Miners', 'Foo Fighters']
['Balloons', 'Foals']
['Bank Holiday Monday', 'Stereophonics']
['Baobabs', 'Regina Spektor']
['Barrowland Ballroom', 'Amy MacDonald']
['Battle', 'Colbie Caillat']
['Be Safe', 'The Cribs']
['Be Still', 'Kelly Clarkson']
['Be With Me', 'J. Holiday']
["Bearing The Serpent's Lamb", 'Job for a Cowboy']
['Beautiful Girls', 'Sean Kingston']
['Beautiful Liar', 'Beyonc�']
['Beautiful Place', 'Good Charlotte']
['Becoming the Bull', 'Atreyu']
['Bed', 'J. Holiday']
["Before It's Too Late (Sam and Mikaela's Theme)", 'The Goo Goo Dolls']
['Believe', 'The Bravery']
['Bend And Snap', 'Cast of Legally Blonde']
['Beneath The Machine', 'Sanctity']
['Bet On It', 'High School Musical Cast']
['Better', 'Tom Baxter']
['Better As A Memory', 'Kenny Chesney']
['Between God And Country', 'Andy Hersey']
['Between Me and You', 'Laura Bell Bundy']
['Big Brother', 'Kanye West']
['Big Casino', 'Jimmy Eat World']
['Big Girl (You Are Beautiful)', 'Mika']
['Billy Brown', 'Mika']
['Birthday', 'Flo Rida']
['Black Rain', 'Ozzy Osbourne']
['Black Thumbnail', 'Kings of Leon']
['Bleed It Out', 'Linkin Park']
['Bleeding Love', 'Leona Lewis']
['Bleeding The Orchid', 'Smashing Pumpkins']
['Blood In The Water', 'Cast of Legally Blonde']
['Blood Red Sky', 'Joe Lynn Turner']
['Blue Magic', 'Jay-Z']
['Bodysnatchers', 'Radiohead']
['Born For This', 'Paramore']
['Borne on the FM Waves of the Heart', 'Against Me!']
['Bottle It Up', 'Sara Bareilles']
['Boy with a Coin', 'Iron & Wine']
['Brand New Gun', 'Donovan Woods']
['Brandy Alexander', 'Feist']
['Brave as a Noun', 'Andrew Jackson Jihad']
['Bravest Face', 'Rush']
['Break Anotha', 'Blake Lewis']
['Break The Ice', 'Britney Spears']
['Breakdown', 'Seether']
['Breakfast At Our House', 'Gretchen Peters']
["Breakin' Dishes", 'Rihanna']
['Breathless', 'Shayne Ward']
['Brianstorm', 'Arctic Monkeys']
['Broken', 'Lifehouse']
['Broken Heart', 'Motion City Soundtrack']
['Brompton Cocktail', 'Avenged Sevenfold']
["Brother's Song", 'Heather Davis']
['Bubbly', 'Colbie Caillat']
['Bulletproof Weeks', 'Matt Nathanson']
['Burn Your Life Down', 'Tegan and Sara']
['Busy Being Fabulous', 'Eagles']
["Buy U A Drank (Shawty Snappin')", 'T-Pain']
['By the Carolina Moon', 'David Lambert']
['By Your Command', 'Devin Townsend']
['California', 'Melissa Etheridge']
['Call The Shots', 'Girls Aloud']
['Call To Arms', 'Angels & Airwaves']
['Camaro', 'Kings of Leon']
['Can I Have A Kiss', 'Kelly Clarkson']
["Can't Forget About You", 'Nas']
["Can't Get Along (Without You)", 'Hard-Fi']
["Can't Help But Wait", 'Trey Songz']
["Can't Speak French", 'Girls Aloud']
["Can't Tell Me Nothing", 'Kanye West']
['Cannibal', 'Static-X']
['Canon Rock', 'JerryC']
['Capital G', 'Nine Inch Nails']
['Carl Panzram', 'Nightmare At Hanging Rock']
['Carolyna', 'Melanie C']
['Carry Me Down', 'Demon Hunter']
['Carry You', 'Jimmy Eat World']
['Carry You Home', 'James Blunt']
['Catch Hell Blues', 'The White Stripes']
['Catch My Breath', 'Westlife']
['Champion', 'Kanye West']
['Charmer', 'Kings of Leon']
['Check Yes Juliet', 'We the Kings']
['Cheer Up, Boys (Your Make-Up Is Running)', 'Foo Fighters']
['Chicago', 'Kate Voegele']
['Chip on My Shoulder', 'Cast of Legally Blonde']
['Chivas', 'Kelly Clarkson']
['Chloroform Girl', 'Polkadot Cadaver']
['Chocolate Rain', 'Tay Zonday']
['Christmas In Fallujah', 'Cass Dillon']
['Church', 'T-Pain']
['City', 'Sara Bareilles']
['Civil Twilight', 'The Weakerthans']
['Close To Me', 'Charles Manson']
['Closer', 'Travis']
['Closure', 'Divine Heresy']
['Cloudy Room', 'The Twang']
['Coffee Shop Soundtrack', 'All Time Low']
['Colleen', 'The Heavy']
['Come On', 'Lucinda Williams']
['Come On Get Higher', 'Matt Nathanson']
['Come One, Come All ', 'All Time Low']
['Comfort Betrays', 'As I Lay Dying']
['Conquest', 'The White Stripes']
['Constant Motion', 'Dream Theater']
['Contraband', 'Roger Clyne & the Peacemakers']
['Cover Girl', 'Mr. Hudson and The Library']
["Cowgirls Don't Cry", 'Brooks & Dunn']
['Crank That (Soulja Boy)', 'Soulja Boy']
['Creator', 'Santigold']
['Critical Acclaim', 'Avenged Sevenfold']
['Cruel Guards', 'The Panics']
['Crushcrushcrush', 'Paramore']
['Crying Out For Me', 'Mario']
['Cup Of Tea Song', 'Judie Tzuke']
["Cupid's Arrow", 'Jennifer Batten']
['Cynthia Margaret', 'Malcolm Holcombe']
['D Is For Dangerous', 'Arctic Monkeys']
['D.A.N.C.E.', 'Justice']
["Dad's Gonna Kill Me", 'Richard Thompson']
['Daisy Lane', 'Stereophonics']
["Dance Floor Anthem (I Don't Wanna Be in Love)", 'Good Charlotte']
['Dance Of The Manatee', 'Fair to Midland']
['Dance Tonight', 'Paul McCartney']
["Dancin' With The Ghost Of Stevie Ray", 'Sandi Thom']
['Dark Come Soon', 'Tegan and Sara']
['Dark Road', 'Annie Lennox']
['Dashboard', 'Modest Mouse']
['Daughter Of Delta Nu', 'Cast of Legally Blonde']
['Dear Bobbie', 'Yellowcard']
['Dear Father (Complete Unknown)', 'Sum 41']
['Debbie', 'Mary Magdalan']
['Declaration (This Is It!)', 'Kirk Franklin']
['Demons', 'Kenny Chesney']
['Denial', 'Sugababes']
