['(I Called Her) Tennessee', 'Tim Dugger']
['After You', 'Pulp']
['Afterglow', 'Black Country Communion']
['Aftershave Ocean', 'The Vaccines']
['Against You', 'Lacuna Coil']
['Age', 'Lianne La Havas']
['Agony', 'Paloma Faith']
['Ah, Sweet Dancer', 'Santana']
['Airborne Ranger Infantry', 'Kristy Lee Cook']
['Alarm Clock', 'Shinee']
['Albacore', 'Ani DiFranco']
['Algiers', 'Calexico']
['Alive', 'Krewella']
['All Around The World', 'Justin Bieber']
['All Gold Everything', 'Trinidad James']
['All I Have Left Is You', 'The Offspring']
['All I Need To Know', 'Thousand Foot Krutch']
['All In', 'Flying Lotus']
['All In A Family', 'Loudon Wainwright III']
['All In Vain', 'The Vaccines']
['All Is Fair', 'Cheryl Cole']
['All Is Fair', 'Big Wreck']
['All Of Me', 'Estelle']
['All Over the Road', 'Easton Corbin']
['All That I Want', 'Robbie Williams']
['All That Matters (The Beautiful Life)', 'Kesha']
['All The Little Lights', 'Passenger']
['All the Rowboats', 'Regina Spektor']
['All The Time', 'Jeremih']
['All This Time', 'Britt Nicole']
['All Those Friendly People', 'Funeral Suits']
['All Too Well', 'Taylor Swift']
['All Wash Out', 'Edward Sharpe & the Magnetic Zeros']
['All We Have Is Now', 'The Modern Electric']
['All Your Clothes', 'Martha Wainwright']
['All Your Gold', 'Bat for Lashes']
['Allowance', 'Our Lady Peace']
['Alone Or With Friends', 'Tribes']
['Alone Together', 'Daley']
["Alone With You (Maddie's Song)", 'Ne-Yo']
['Alpha Omega', 'Architects']
['Alternative Power to the People', 'The Dandy Warhols']
['Always Waiting', 'Michael Kiwanuka']
['Amanaemonesia', 'Chairlift']
['Amanita', 'Animal Collective']
['Amaryllis', 'Shinedown']
['Amen', 'Leonard Cohen']
['Amen', 'Meek Mill']
['Amen', 'Paper Tongues']
['Amendment', 'Ani DiFranco']
['America', 'Howler']
['America', 'Deuce']
['American Beautiful', 'The Henningsens']
['American Heart', 'Faith Hill']
['American Steel', 'Soulfly']
['Amerigo', 'Patti Smith']
['Amsterdam', 'Rick Ross']
['Amy', 'Green Day']
['Analog Man', 'Joe Walsh']
['Anastasia', 'Slash']
['Andrew In Drag', 'Magnetic Fields']
['Andr�', 'JoJo']
['Angel', 'Gordon Bahary']
['Angel', 'Sarah Brightman']
['Angels', 'The xx']
['Angels & Stars', 'Eric Turner']
['Animal', 'Conor Maynard']
['Animal Skins', 'Dry the River']
['Animals', 'Muse']
['Anna Sun', 'Walk the Moon']
['Another Camden Afternoon', 'The Stranglers']
['Another Home', 'Mary Chapin Carpenter']
['Another Last Goodbye', 'Aerosmith']
['Another Love', 'Tom Odell']
['Another Round', 'Fat Joe']
['Another Shot', 'Lostprophets']
['Anthem', 'Ringo Starr']
['Anxiety', 'Ladyhawke']
['Any Day Will Do Fine', 'Michael Kiwanuka']
['Anyhow', 'Leonard Cohen']
['Anyone Else', 'Matt Cardle']
['Anything Could Happen', 'Ellie Goulding']
['Anything We Want', 'Fiona Apple']
['Anywhere In The World', 'Mark Ronson & Katy B']
['Apocalypse Dreams', 'Tame Impala']
['Apocalyptic Love', 'Slash']
['Apocryphon', 'The Sword']
['Apparition', 'Frank + Derol']
['Applesauce', 'Animal Collective']
['April Fool', 'Patti Smith']
['Are We All We Are', 'Pink']
['Are You With Me', 'Easton Corbin']
['Arena', 'B.o.B']
['Arena Rock Encore With Full Cast', 'The Cribs']
['Arguing With Thermometers', 'Enter Shikari']
['Army Of Me', 'Christina Aguilera']
['Army Of Two', 'Olly Murs']
["Around My Way (Freedom Ain't Free)", 'Lupe Fiasco']
['Artificial Nocturne', 'Metric']
['As Far as I Remember', 'Papa Roach']
['As Fast As You Can', 'Our Lady Peace']
['As Is', 'Van Halen']
['As Long As You Love Me', 'Justin Bieber']
['As Your Friend', 'Chris Brown']
['Ashes and Roses', 'Mary Chapin Carpenter']
['Automatic', 'Nicki Minaj']
['Automatic', 'Dawn Richard']
['Automatic Systematic Habit', 'Garbage']
['Ayla', 'The Maccabees']
['Ayy Ladies', 'Travis Porter']
['B-Day Song', 'Madonna']
['Babel', 'Mumford & Sons']
['Baby Come Home', 'Scissor Sisters']
['Baby Just Break', 'King Tuff']
['Back', 'Colt Ford']
['Back 2 Life', 'Sean Kingston']
['Back For You', 'One Direction']
['Back in Time', 'Pitbull']
['Back To The Bolthole', 'The Cribs']
['Back When', 'Nas']
['Backseat Freestyle', 'Kendrick Lamar']
['Backseat Serenade', 'All Time Low']
['Backtrack', 'Rebecca Ferguson']
['Bad Apple', 'Tribes']
['Bad Blood', 'Bastille']
['Bad Girls', 'M.I.A.']
['Bad Mood', 'The Vaccines']
['Bad Rain', 'Slash']
['Bad Religion', 'Frank Ocean']
['Bad, Bad Dream', 'The Johnstones']
['Bag of Money', 'Wale and Meek Mill']
['Bait and Switch', 'The Shins']
['Ball', 'T.I.']
['Band Played On', 'Joe Walsh']
['Bandz A Make Her Dance', 'Juicy J']
['Banga', 'Patti Smith']
['Banjo', 'Rascal Flatts']
['Banjo', 'Leonard Cohen']
['Banlieue', 'Max�mo Park']
['Barbara', 'Rufus Wainwright']
