["(Don't Fear) The Reaper", 'Blue �yster Cult']
['Dr. Marvello', 'Klaatu']
['Drop Kick Me Jesus (Through The Goalposts Of Life)', 'Bobby Bare']
['Dry Your Eyes', 'Neil Diamond']
['Emerald', 'Thin Lizzy']
['Evergreen', 'Barbra Streisand']
['Everything You Did', 'Steely Dan']
['Fernando', 'ABBA']
['Fly Like An Eagle', 'Steve Miller Band']
['Flying Sorcery', 'Al Stewart']
['Fool To Cry', 'The Rolling Stones']
['For Your Life', 'Led Zeppelin']
['Foreplay / Long Time', 'Boston']
['Fountain of Lamneth', 'Rush']
['Free For All', 'Ted Nugent']
['Full of Fire', 'Al Green']
['Get Closer', 'Seals & Crofts']
['Get Up Offa That Thing', 'James Brown']
['Getaway', 'Earth, Wind & Fire']
["Gettin' It In The Street", 'David Cassidy']
['Gimme Back My Bullets', 'Lynyrd Skynyrd']
['Girl From Ohio', 'The Outlaws']
['Give Up the Funk (Tear the Roof off the Sucker)', 'Parliament']
['God Of Thunder', 'Kiss']
['Golden Ring', 'George Jones & Tammy Wynette']
['Good Old-Fashioned Lover Boy', 'Queen']
['Green Earrings', 'Steely Dan']
['Guilty', 'Alice Cooper']
['Had To Phone Ya', 'The Beach Boys']
['Haitian Divorce', 'Steely Dan']
['Hand Of Fate', 'The Rolling Stones']
['Happy Days', 'Pratt & McClain']
['Harvest For The World', 'The Isley Brothers']
['Harvest for the World (Prelude)', 'The Isley Brothers']
['Hey Negrita', 'The Rolling Stones']
['Hitch A Ride', 'Boston']
['Home Is a Wounded Heart', 'Neil Diamond']
['Hot Stuff', 'The Rolling Stones']
['Hotel California', 'Eagles']
['Hots On For Nowhere', 'Led Zeppelin']
['I Am A Cider Drinker', 'The Wurzels']
['I Believe in Love', 'Kenny Loggins']
["I Don't Wanna Go Down to the Basement", 'Ramones']
['I Go To Rio', 'Peter Allen']
['I Need To Be In Love', 'Carpenters']
['I Never Cry', 'Alice Cooper']
['I Wanna Be Your Boyfriend', 'Ramones']
['I Want You', 'Marvin Gaye']
['I Want You', 'Kiss']
['I Wish', 'Stevie Wonder']
["I'd Be Surprisingly Good For You", 'Julie Covington']
["I'd Really Love To See You Tonight", 'England Dan & John Ford Coley']
["I'll Be Good To You", 'The Brothers Johnson']
["I'm A Loser", 'UFO']
["I'm Gonna Let My Heart Do the Walking", 'The Supremes']
["I'm Scared", 'Burton Cummings']
["I'm Your Boogie Man", 'KC & The Sunshine Band']
["I've Never Been To Me", 'Charlene']
["If I Don't Get You The Next One Will", 'Lynsey de Paul']
["If It Doesn't Come Naturally, Leave It", 'Al Stewart']
["If There's A God In Heaven (What's He Waiting For?)", 'Elton John']
['If You Leave Me Now', 'Chicago']
['Irene Wilde', 'Ian Hunter']
['Isis', 'Bob Dylan']
["Isn't She Lovely", 'Stevie Wonder']
["It's Only Love", 'ZZ Top']
['Jailbreak', 'Thin Lizzy']
['Jeans On', 'David Dundas']
['Joanne Little', 'Sweet Honey in the Rock']
['Joey', 'Bob Dylan']
['Judy Is A Punk', 'Ramones']
['Jump', 'Derek and Clive']
['Junk Food Junkie', 'Larry Groce']
['Kid Charlemagne', 'Steely Dan']
['Kiss And Say Goodbye', 'The Manhattans']
['Knowing Me, Knowing You', 'ABBA']
['Kung Fu Fighting', 'Carl Douglas']
['Lakeside Park', 'Rush']
['Last Child', 'Aerosmith']
['Lessons', 'Rush']
["Let 'Em In", 'Wings']
['Let Her In', 'John Travolta']
['Let Me Take You Home Tonight', 'Boston']
['Let Your Body Go Downtown', 'Martyn Ford Orchestra']
['Let Your Love Flow', 'The Bellamy Brothers']
["Let's Stick Together", 'Bryan Ferry']
['Lido Shuffle', 'Boz Scaggs']
['Life In The Fast Lane', 'Eagles']
['Lights Out', 'UFO']
['Little Does She Know', 'Kursaal Flyers']
["Livin' Thing", 'Electric Light Orchestra']
['Living Next Door To Alice', 'Smokie']
['Lonely Night (Angel Face)', 'Captain & Tennille']
['Long May You Run', 'Neil Young']
['Looks Like We Made It', 'Barry Manilow']
['Lord Grenville', 'Al Stewart']
['Lorelei', 'Wishbone Ash']
['Love and Affection', 'Joan Armatrading']
['Love Ballad', 'L.T.D.']
['Love Hangover', 'Diana Ross']
['Love in the Shadows', 'Neil Sedaka']
['Love Me', 'Yvonne Elliman']
['Love Of The Common Man', 'Todd Rundgren']
["Love's In Need Of Love Today", 'Stevie Wonder']
['Lowdown', 'Boz Scaggs']
['Lying Again', 'Lynsey de Paul']
['Mahna Mahna', 'The Muppets']
['Mainstreet', 'Bob Seger']
['Making Our Dreams Come True', 'Cyndi Grecco']
['Mamma Mia', 'ABBA']
['Martian Man', 'Lynsey de Paul']
['Melody', 'The Rolling Stones']
['Memory Motel', 'The Rolling Stones']
['Miami 2017 (Seen The Lights Go Out On Broadway)', 'Billy Joel']
['Midas Shadow', 'Al Stewart']
['Miss You Nights', 'Cliff Richard']
['Mississippi', 'Pussycat']
['Misty Blue', 'Dorothy Moore']
['Money, Money, Money', 'ABBA']
['Moonlight Feels Right', 'Starbuck']
['More Than a Feeling', 'Boston']
['More, More, More', 'The Andrea True Connection']
['Mozambique', 'Bob Dylan']
['Music', 'John Miles']
['Muskrat Love', 'Captain & Tennille']
['New Kid In Town', 'Eagles']
['New Rose', 'The Damned']
['New York City', 'T. Rex']
['New York State Of Mind', 'Billy Joel']
["Niggizz Can't Sang Rock 'N Roll", "Mother's Finest"]
['Night Moves', 'Bob Seger']
['Nights Are Forever Without You', 'England Dan & John Ford Coley']
["Nobody's Fault", 'Aerosmith']
["Nobody's Fault But Mine", 'Led Zeppelin']
['Now I Wanna Sniff Some Glue', 'Ramones']
['Oh, Sister', 'Bob Dylan']
['On The Border', 'Al Stewart']
['One More Cup of Coffee (Valley Below)', 'Bob Dylan']
['One Piece At A Time', 'Johnny Cash']
['One Stage Before', 'Al Stewart']
['Outward Bound', 'Wishbone Ash']
['Oxyg�ne (Part IV)', 'Jean-Michel Jarre']
['Pastime Paradise', 'Stevie Wonder']
['Peace Of Mind', 'Boston']
['People', 'Joan Armatrading']
['Play That Funky Music', 'Wild Cherry']
['Police And Thieves', 'Junior Murvin']
['Polk Street Rag', 'Barclay James Harvest']
['Pretty Maids All In A Row', 'Eagles']
['Problem Child', 'AC/DC']
['Pull The Damn Thing Down', 'John Miles']
["Quiet Please, There's a Lady on Stage", 'Peter Allen']
['Ra', 'Barclay James Harvest']
['Rat Race', 'Bob Marley & the Wailers']
['Rebel', 'John Miles']
['Rich Girl', 'Hall & Oates']
['Right Time Of The Night', 'Jennifer Warnes']
["Rock 'N Me", 'Steve Miller Band']
['Rock And Roll Band', 'Boston']
['Rock And Roll Love Letter', 'Bay City Rollers']
['Rock And Roll Never Forgets', 'Bob Seger']
['Rock Creek Park', 'The Blackbyrds']
['Roland The Headless Thompson Gunner', 'Warren Zevon']
['Rose Of Cimarron', 'Poco']
['Royal Orleans', 'Led Zeppelin']
['Russian Roulette', 'The Hollies']
['Sam', 'Olivia Newton-John']
['Sara', 'Bob Dylan']
['Savannah', 'Yvonne Elliman']
['Save Your Kisses for Me', 'Brotherhood of Man']
['Say Goodbye To Hollywood', 'Billy Joel']
['Shake Some Action', "Flamin' Groovies"]
['Shangri-La', 'Electric Light Orchestra']
['Shannon', 'Henry Gross']
['She Was My Best Friend', 'Wishbone Ash']
['Ships In The Night', 'Be-Bop Deluxe']
['Shout It Out Loud', 'Kiss']
['Sign In Stranger', 'Steely Dan']
['Silly Love Songs', 'Paul McCartney & Wings']
['Silver Lights', 'Sammy Hagar']
['Simple Man, Simple Dream', 'J.D. Souther']
['Sing Hallelujah to the Lord', 'The Maranatha! Singers']
['Sir Duke', 'Stevie Wonder']
['Sleep That Burns', 'Be-Bop Deluxe']
["Sleep's Dark And Silent Gate", 'Jackson Browne']
["Smokin'", 'Boston']
['So In to You', 'Atlanta Rhythm Section']
['Somebody To Love', 'Queen']
['Something For Nothing', 'Rush']
['Something He Can Feel', 'Aretha Franklin']
['Sorry Seems To Be The Hardest Word', 'Elton John']
['South Carolina', 'The Outlaws']
['Spotlight', 'Crosby & Nash']
['Spring Affair', 'Donna Summer']
['Squonk', 'Genesis']
['Stand Tall', 'Burton Cummings']
['Stargazer', 'Rainbow']
['Starstruck', 'Rainbow']
['Station to Station', 'David Bowie']
['Stiletto Heels', 'Sailor']
['Still The One', 'Orleans']
['Street Life', 'Neil Diamond']
['Summer Fever', 'Donna Summer']
['Summer, Highland Falls', 'Billy Joel']
['Sweet Love', 'Commodores']
['Take The Money And Run', 'Steve Miller Band']
["Takin' It To the Streets", 'The Doobie Brothers']
['Tall In The Saddle', 'Joan Armatrading']
['Tarot Woman', 'Rainbow']
['Tea For One', 'Led Zeppelin']
['Teddy Bear', 'Red Sovine']
['The Best Disco In Town', 'The Ritchie Family']
['The Boys Are Back In Town', 'Thin Lizzy']
['The Caves of Altamira', 'Steely Dan']
['The Coffee Song', 'Osibisa']
['The Fez', 'Steely Dan']
['The Fire Down Below', 'Bob Seger']
['The First Cut Is The Deepest', 'Rod Stewart']
['The French Inhaler', 'Warren Zevon']
['The Killing Of Georgie (Part I And II)', 'Rod Stewart']
['The Last Resort', 'Eagles']
['The Little Mouse', 'Malvina Reynolds']
['The Lone Ranger', 'Quantum Jump']
['The Millionaire Waltz', 'Queen']
['The Necromancer', 'Rush']
['The Piano Has Been Drinking', 'Tom Waits']
['The Pretender', 'Jackson Browne']
['The Ripper', 'Judas Priest']
['The Royal Scam', 'Steely Dan']
['The Rubberband Man', 'The Spinners']
['The Things We Do For Love', '10cc']
['The Twilight Zone', 'Rush']
['Theme', 'Talking Heads']
["They Shoot Horses Don't They?", 'Racing Cars']
['This Masquerade', 'George Benson']
['This Song', 'George Harrison']
['Tie Your Mother Down', 'Queen']
["Tom Traubert's Blues", 'Tom Waits']
["Tonight's The Night (Gonna Be Alright)", 'Rod Stewart']
['Turn The Beat Around', 'Vicki Sue Robinson']
['TVC 15', 'David Bowie']
['Under The Moon Of Love', 'Showaddywaddy']
['Up To Me', 'Roger McGuinn']
['Up With The Cock!', 'Judge Dread']
['Victim Of Changes', 'Judas Priest']
['Victim Of Love', 'Eagles']
['War', 'Bob Marley & the Wailers']
['Wasted Time', 'Eagles']
['Water With the Wine', 'Joan Armatrading']
['We Do It', 'R & J Stone']
['Weekend In New England', 'Barry Manilow']
['Welcome Back', 'John Sebastian']
['What Can I Say?', 'Boz Scaggs']
['When I Kissed the Teacher', 'ABBA']
['When You Lose Someone So Young', 'John Miles']
['White Man', 'Queen']
["Who'd She Coo?", 'The Ohio Players']
['Wiggle That Wotsit', 'The Hollies']
['Wild Is the Wind', 'David Bowie']
['Winter Melody', 'Donna Summer']
['Word On A Wing', 'David Bowie']
['Wreck Of The Edmund Fitzgerald', 'Gordon Lightfoot']
['X Offender', 'Blondie']
['Year Of The Cat', 'Al Stewart']
['You Are The Woman', 'Firefall']
['You Can Make Me Dance, Sing or Anything', 'Faces']
['You Give A Little Love', 'Bugsy Malone']
['You Make Me Feel Like Dancing', 'Leo Sayer']
['You Should Be Dancing', 'Bee Gees']
['You Take My Breath Away', 'Queen']
['You To Me Are Everything', 'The Real Thing']
['You Were So Warm', 'Dwight Twilley']
["You'll Never Find Another Love Like Mine", 'Lou Rawls']
["You're My Best Friend", 'Queen']
['Young Hearts Run Free', 'Candi Staton']
['Your Bright Baby Blues', 'Jackson Browne']
['Your Love Broke Thru', 'Phil Keaggy']
