['#36', 'Dave Matthews Band']
['Voice Of The Voiceless', 'Rage Against the Machine']
['Wait and Bleed', 'Slipknot']
['Waiting For Tonight', 'Jennifer Lopez']
['War Within A Breath', 'Rage Against the Machine']
['Warheart', 'Children of Bodom']
['Waste', 'Smash Mouth']
['Wave Goodbye', 'Chris Cornell']
['Wave Motion Gun', 'Marcy Playground']
['We Danced', 'Brad Paisley']
['What a Girl Wants', 'Christina Aguilera']
['What If', 'Creed']
["What's He Building?", 'Tom Waits']
["What's My Age Again?", 'blink-182']
["What's So Different?", 'Ginuwine']
["When I Hated Him (Don't Tell Me)", 'Bijou Phillips']
['When She Loved Me', 'Sarah McLachlan']
['When The Heartache Is Over', 'Tina Turner']
['When Worlds Collide', 'Powerman 5000']
['When You Say Nothing At All', 'Ronan Keating']
['Where I Wanna Be', 'Donell Jones']
['Where My Girls At?', '702']
['White Slavery', 'Type O Negative']
['Who Needs Pictures', 'Brad Paisley']
["Why Didn't You Call Me", 'Macy Gray']
['Why Does It Always Rain On Me?', 'Travis']
['Why Does My Heart Feel So Bad?', 'Moby']
["Why Don't You Get a Job?", 'The Offspring']
['Wild Wild West', 'Will Smith']
['Windowlicker', 'Aphex Twin']
['Wise Up', 'Aimee Mann']
['With Arms Wide Open', 'Creed']
['Worked Up So Sexual', 'The Faint']
["Workin'", 'Lynyrd Skynyrd']
['Writing To Reach You', 'Travis']
['You And I Could Fly', 'Halestorm']
["You Don't Know Me", 'Armand Van Helden']
['You Got Me', 'The Roots']
["You Shouldn't Kiss Me Like This", 'Toby Keith']
["You'll Be In My Heart", 'Phil Collins']
['Your Dictionary', 'XTC']
['�g�tis byrjun', 'Sigur R�s']
