['(Ha Ha) Slow Down', 'Fat Joe']
['Are You Ready?', 'RPA & the United Nations of Sound']
['Aretha', 'Rumer']
['Arlene', 'Crystal Bowersox']
['Armada Latina', 'Cypress Hill']
['As Bad As It Gets', 'Jewel']
['As It Comes', 'Fran Healy']
["As She's Walking Away", 'Zac Brown Band']
['As We Enter', 'Nas & Damian Marley']
['Ashes & Pearls', 'Debi Nova']
['Assembly Line', 'Randy Montana']
['Aston Martin Music', 'Rick Ross']
['Asylum', 'Disturbed']
['At or With Me', 'Jack Johnson']
['Atlas Air', 'Massive Attack']
['Attack Music', 'These New Puritans']
['Audio Secrecy', 'Stone Sour']
['Avalon', 'Bad Religion']
["B.M.F. (Blowin' Money Fast)", 'Rick Ross']
['Babel', 'Massive Attack']
['Baby', 'Justin Bieber']
["Baby Can't Drive", 'Slash']
["Baby Don't Cry", 'Jamey Johnson']
['Baby Father', 'Sade']
['Back Down South', 'Kings of Leon']
['Back From Cali', 'Slash']
['Back from Kathmandu', 'OK Go']
['Back To December', 'Taylor Swift']
['Back to Scratch', 'Charlotte Church']
['Backstabber', 'Kesha']
['Bad Angel', 'Dierks Bentley']
['Bad Day', 'Darwin Deez']
["Bad Day of Fishin'", 'Billy Currington']
['Baddest Chick', 'Alesha Dixon']
['Bagman', 'Stone Temple Pilots']
['Bang Bang Bang', 'Mark Ronson and the Business Intl']
['Barbra Streisand', 'Duck Sauce']
['Barely Breathing', 'The Hold Steady']
['Barnacled Warship', 'Johnny Flynn']
['Barricade', 'Interpol']
['Basic Instinct (U Got Me)', 'Ciara']
['Basket Case', 'Sara Bareilles']
['Bass Down Low', 'Dev']
['Battle', 'Chris August']
['BBM', 'Sean Kingston']
['Be Good Until Then', 'Butch Walker']
['Be My Baby', 'Annie Khalid']
['Be Still', 'Big Boi']
['Beach Side', 'Kings of Leon']
['Beamer, Benz, Or Bentley', 'Lloyd Banks']
['Beat Is Up', 'Liz Phair']
["Beat The Devil's Tattoo", 'Black Rebel Motorcycle Club']
['Beautiful', 'Apocalyptica']
['Beautiful', 'MercyMe']
['Beautiful Dangerous', 'Slash']
['Beautiful Every Time', 'Lee Brice']
['Beautiful Monster', 'Ne-Yo']
